ID,LHS,LHS Type,RHS,Probability
1,A,preterminal,a,1.0
2,B,preterminal,b,1.0
3,C,preterminal,c,1.0
4,D,preterminal,d,1.0
5,E,preterminal,e,1.0
6,F,preterminal,f,1.0
7,G,preterminal,g,1.0
8,H,preterminal,h,1.0
9,I,preterminal,i,1.0
10,J,preterminal,j,1.0
11,K,preterminal,k,1.0
12,L,preterminal,l,1.0
13,M,preterminal,m,1.0
14,N,preterminal,n,1.0
15,O,preterminal,o,1.0
16,P,preterminal,p,1.0
17,Q,preterminal,q,1.0
18,R,preterminal,r,1.0
19,PT_S,preterminal,s,1.0
20,T,preterminal,t,1.0
21,U,preterminal,u,1.0
22,V,preterminal,v,1.0
23,W,preterminal,w,1.0
24,X,preterminal,x,1.0
25,Y,preterminal,y,1.0
26,Z,preterminal,z,1.0
27,F_ABCD,nonterminal,A B,0.705733
28,F_ABCD,nonterminal,C D,0.294267
29,F_EFGH,nonterminal,E F,0.701298
30,F_EFGH,nonterminal,G H,0.298702
31,F_EIOU,nonterminal,E I,0.699437
32,F_EIOU,nonterminal,O U,0.300563
33,F_IJKL,nonterminal,I J,0.720282
34,F_IJKL,nonterminal,K L,0.279718
35,F_MNOP,nonterminal,M N,0.719443
36,F_MNOP,nonterminal,O P,0.280557
37,F_QRST,nonterminal,Q R,0.702752
38,F_QRST,nonterminal,PT_S T,0.297248
39,F_UVWX,nonterminal,U V,0.700599
40,F_UVWX,nonterminal,W X,0.299401
41,F_AM,nonterminal,A M,1.0
42,F_YZ,nonterminal,Y Z,1.0
43,S,nonterminal,S NT1,0.050963
44,S,nonterminal,NT3 S,0.049085
45,S,nonterminal,NT4 S,0.159122
46,S,nonterminal,NT4 NT1,0.152478
47,S,nonterminal,NT6 S,0.312308
48,S,nonterminal,NT7 NT1,0.071355
49,S,nonterminal,NT8 NT1,0.03903
50,S,nonterminal,NT8 NT2,0.16566
51,NT1,nonterminal,F_EFGH F_IJKL,0.035495
52,NT1,nonterminal,F_EIOU F_UVWX,0.512363
53,NT1,nonterminal,NT3 NT2,0.15186
54,NT1,nonterminal,NT3 NT6,0.083497
55,NT1,nonterminal,NT3 NT7,0.102301
56,NT1,nonterminal,NT6 NT7,0.114484
57,NT2,nonterminal,F_IJKL F_AM,0.02219
58,NT2,nonterminal,F_IJKL F_YZ,0.055906
59,NT2,nonterminal,F_MNOP F_EIOU,0.075568
60,NT2,nonterminal,F_AM F_QRST,0.213968
61,NT2,nonterminal,F_YZ F_QRST,0.521295
62,NT2,nonterminal,NT2 NT5,0.059752
63,NT2,nonterminal,NT6 NT1,0.021112
64,NT2,nonterminal,NT8 NT1,0.030209
65,NT3,nonterminal,F_ABCD F_EIOU,0.269056
66,NT3,nonterminal,F_EFGH F_AM,0.031109
67,NT3,nonterminal,F_EFGH F_YZ,0.118305
68,NT3,nonterminal,F_QRST F_UVWX,0.379224
69,NT3,nonterminal,F_AM F_EIOU,0.068256
70,NT3,nonterminal,F_YZ F_EIOU,0.13405
71,NT4,nonterminal,F_QRST F_UVWX,0.112317
72,NT4,nonterminal,F_UVWX F_AM,0.056682
73,NT4,nonterminal,F_UVWX F_YZ,0.10965
74,NT4,nonterminal,F_YZ F_EIOU,0.053693
75,NT4,nonterminal,NT3 NT2,0.431931
76,NT4,nonterminal,NT4 NT6,0.043351
77,NT4,nonterminal,NT6 NT4,0.077644
78,NT4,nonterminal,NT8 NT1,0.078878
79,NT4,nonterminal,NT8 NT2,0.035852
80,NT5,nonterminal,F_ABCD F_EFGH,0.525311
81,NT5,nonterminal,F_IJKL F_MNOP,0.32483
82,NT5,nonterminal,NT6 NT4,0.038947
83,NT5,nonterminal,NT6 NT7,0.110912
84,NT6,nonterminal,F_ABCD F_EFGH,0.086453
85,NT6,nonterminal,F_ABCD F_QRST,0.278969
86,NT6,nonterminal,F_EFGH F_IJKL,0.081621
87,NT6,nonterminal,F_IJKL F_MNOP,0.051081
88,NT6,nonterminal,F_IJKL F_UVWX,0.15922
89,NT6,nonterminal,F_MNOP F_QRST,0.102599
90,NT6,nonterminal,NT4 NT6,0.071038
91,NT6,nonterminal,NT6 NT3,0.10559
92,NT6,nonterminal,NT6 NT4,0.063429
93,NT7,nonterminal,NT3 NT2,0.068725
94,NT7,nonterminal,NT3 NT6,0.032217
95,NT7,nonterminal,NT3 NT7,0.211155
96,NT7,nonterminal,NT3 NT8,0.563649
97,NT7,nonterminal,NT4 NT8,0.05061
98,NT7,nonterminal,NT6 NT4,0.032077
99,NT7,nonterminal,NT8 NT2,0.041568
100,NT8,nonterminal,F_ABCD F_EIOU,0.309712
101,NT8,nonterminal,F_EFGH F_AM,0.083127
102,NT8,nonterminal,F_EFGH F_YZ,0.110755
103,NT8,nonterminal,NT2 NT5,0.274945
104,NT8,nonterminal,NT2 NT6,0.03248
105,NT8,nonterminal,NT3 NT6,0.021496
106,NT8,nonterminal,NT4 NT6,0.061522
107,NT8,nonterminal,NT6 NT3,0.051103
108,NT8,nonterminal,NT8 NT6,0.054859
