ID,LHS,LHS Type,RHS,Probability
1,A,preterminal,a,1.0
2,B,preterminal,b,1.0
3,C,preterminal,c,1.0
4,D,preterminal,d,1.0
5,E,preterminal,e,1.0
6,F,preterminal,f,1.0
7,G,preterminal,g,1.0
8,H,preterminal,h,1.0
9,I,preterminal,i,1.0
10,J,preterminal,j,1.0
11,K,preterminal,k,1.0
12,L,preterminal,l,1.0
13,M,preterminal,m,1.0
14,N,preterminal,n,1.0
15,O,preterminal,o,1.0
16,P,preterminal,p,1.0
17,Q,preterminal,q,1.0
18,R,preterminal,r,1.0
19,PT_S,preterminal,s,1.0
20,T,preterminal,t,1.0
21,U,preterminal,u,1.0
22,V,preterminal,v,1.0
23,W,preterminal,w,1.0
24,X,preterminal,x,1.0
25,Y,preterminal,y,1.0
26,Z,preterminal,z,1.0
27,F_ABCD,nonterminal,A B,0.705733
28,F_ABCD,nonterminal,C D,0.294267
29,F_EFGH,nonterminal,E F,0.701298
30,F_EFGH,nonterminal,G H,0.298702
31,F_EIOU,nonterminal,E I,0.699437
32,F_EIOU,nonterminal,O U,0.300563
33,F_IJKL,nonterminal,I J,0.720282
34,F_IJKL,nonterminal,K L,0.279718
35,F_MNOP,nonterminal,M N,0.719443
36,F_MNOP,nonterminal,O P,0.280557
37,F_QRST,nonterminal,Q R,0.702752
38,F_QRST,nonterminal,PT_S T,0.297248
39,F_UVWX,nonterminal,U V,0.700599
40,F_UVWX,nonterminal,W X,0.299401
41,F_AM,nonterminal,A M,1.0
42,F_YZ,nonterminal,Y Z,1.0
43,S,nonterminal,S NT1,0.1468
44,S,nonterminal,NT1 S,0.237984
45,S,nonterminal,NT1 NT1,0.223167
46,S,nonterminal,NT2 S,0.026583
47,S,nonterminal,NT2 NT1,0.052994
48,S,nonterminal,NT3 S,0.151949
49,S,nonterminal,NT3 NT1,0.13145
50,S,nonterminal,NT3 NT2,0.029074
51,NT1,nonterminal,F_ABCD F_EFGH,0.127455
52,NT1,nonterminal,F_EIOU F_UVWX,0.137417
53,NT1,nonterminal,F_IJKL F_MNOP,0.063078
54,NT1,nonterminal,F_IJKL F_UVWX,0.078524
55,NT1,nonterminal,NT1 NT1,0.068028
56,NT1,nonterminal,NT3 NT2,0.525498
57,NT2,nonterminal,F_ABCD F_QRST,0.093847
58,NT2,nonterminal,F_EFGH F_IJKL,0.026205
59,NT2,nonterminal,F_EFGH F_YZ,0.034848
60,NT2,nonterminal,F_IJKL F_YZ,0.041088
61,NT2,nonterminal,F_MNOP F_EIOU,0.049305
62,NT2,nonterminal,F_AM F_QRST,0.221874
63,NT2,nonterminal,F_YZ F_QRST,0.331394
64,NT2,nonterminal,NT2 NT1,0.041062
65,NT2,nonterminal,NT3 NT1,0.029609
66,NT2,nonterminal,NT3 NT2,0.130768
67,NT3,nonterminal,F_ABCD F_EIOU,0.286303
68,NT3,nonterminal,F_ABCD F_QRST,0.131919
69,NT3,nonterminal,F_EFGH F_IJKL,0.033946
70,NT3,nonterminal,F_EFGH F_AM,0.083457
71,NT3,nonterminal,F_EFGH F_YZ,0.054823
72,NT3,nonterminal,F_QRST F_UVWX,0.257577
73,NT3,nonterminal,F_UVWX F_AM,0.021167
74,NT3,nonterminal,F_YZ F_EIOU,0.080856
75,NT3,nonterminal,NT3 F_EIOU,0.021243
76,NT3,nonterminal,NT3 NT2,0.02871
