ID,LHS,LHS Type,RHS,Probability
1,A,preterminal,a,1.0
2,B,preterminal,b,1.0
3,C,preterminal,c,1.0
4,D,preterminal,d,1.0
5,E,preterminal,e,1.0
6,F,preterminal,f,1.0
7,G,preterminal,g,1.0
8,H,preterminal,h,1.0
9,I,preterminal,i,1.0
10,J,preterminal,j,1.0
11,K,preterminal,k,1.0
12,L,preterminal,l,1.0
13,M,preterminal,m,1.0
14,N,preterminal,n,1.0
15,O,preterminal,o,1.0
16,P,preterminal,p,1.0
17,Q,preterminal,q,1.0
18,R,preterminal,r,1.0
19,PT_S,preterminal,s,1.0
20,T,preterminal,t,1.0
21,U,preterminal,u,1.0
22,V,preterminal,v,1.0
23,W,preterminal,w,1.0
24,X,preterminal,x,1.0
25,Y,preterminal,y,1.0
26,Z,preterminal,z,1.0
27,F_ABCD,nonterminal,A B,0.705733
28,F_ABCD,nonterminal,C D,0.294267
29,F_EFGH,nonterminal,E F,0.701298
30,F_EFGH,nonterminal,G H,0.298702
31,F_EIOU,nonterminal,E I,0.699437
32,F_EIOU,nonterminal,O U,0.300563
33,F_IJKL,nonterminal,I J,0.720282
34,F_IJKL,nonterminal,K L,0.279718
35,F_MNOP,nonterminal,M N,0.719443
36,F_MNOP,nonterminal,O P,0.280557
37,F_QRST,nonterminal,Q R,0.702752
38,F_QRST,nonterminal,PT_S T,0.297248
39,F_UVWX,nonterminal,U V,0.700599
40,F_UVWX,nonterminal,W X,0.299401
41,F_AM,nonterminal,A M,1.0
42,F_YZ,nonterminal,Y Z,1.0
43,S,nonterminal,S NT10,0.02563
44,S,nonterminal,NT1 S,0.293302
45,S,nonterminal,NT3 S,0.175023
46,S,nonterminal,NT3 NT6,0.114943
47,S,nonterminal,NT4 NT2,0.047405
48,S,nonterminal,NT4 NT3,0.113958
49,S,nonterminal,NT4 NT7,0.087986
50,S,nonterminal,NT5 NT2,0.023962
51,S,nonterminal,NT5 NT3,0.036926
52,S,nonterminal,NT11 S,0.035424
53,S,nonterminal,NT11 NT3,0.045441
54,NT1,nonterminal,F_ABCD F_QRST,0.494427
55,NT1,nonterminal,F_IJKL F_UVWX,0.287701
56,NT1,nonterminal,F_MNOP F_QRST,0.192972
57,NT1,nonterminal,F_UVWX F_YZ,0.0249
58,NT2,nonterminal,NT2 NT10,0.070029
59,NT2,nonterminal,NT9 NT1,0.037234
60,NT2,nonterminal,NT9 NT7,0.068844
61,NT2,nonterminal,NT10 NT2,0.04997
62,NT2,nonterminal,NT11 NT4,0.328619
63,NT2,nonterminal,NT11 NT8,0.209088
64,NT2,nonterminal,NT11 NT12,0.105851
65,NT2,nonterminal,NT12 NT8,0.130364
66,NT3,nonterminal,NT4 NT6,0.240989
67,NT3,nonterminal,NT9 NT7,0.31537
68,NT3,nonterminal,NT9 NT8,0.138682
69,NT3,nonterminal,NT12 NT7,0.256549
70,NT3,nonterminal,NT12 NT8,0.04841
71,NT4,nonterminal,NT1 NT2,0.130134
72,NT4,nonterminal,NT3 NT10,0.10029
73,NT4,nonterminal,NT8 NT10,0.25483
74,NT4,nonterminal,NT9 NT1,0.050896
75,NT4,nonterminal,NT11 NT4,0.032036
76,NT4,nonterminal,NT11 NT9,0.090573
77,NT4,nonterminal,NT11 NT12,0.19292
78,NT4,nonterminal,NT12 NT1,0.14832
79,NT5,nonterminal,F_ABCD F_EFGH,0.023698
80,NT5,nonterminal,F_UVWX F_YZ,0.415752
81,NT5,nonterminal,NT1 NT2,0.262037
82,NT5,nonterminal,NT3 NT10,0.173097
83,NT5,nonterminal,NT4 NT6,0.028909
84,NT5,nonterminal,NT9 NT8,0.06833
85,NT5,nonterminal,NT11 NT8,0.028176
86,NT6,nonterminal,F_ABCD F_EFGH,0.025664
87,NT6,nonterminal,F_EIOU F_UVWX,0.85525
88,NT6,nonterminal,NT9 NT1,0.096297
89,NT6,nonterminal,NT11 NT8,0.022788
90,NT7,nonterminal,F_IJKL F_AM,0.02146
91,NT7,nonterminal,F_IJKL F_YZ,0.077489
92,NT7,nonterminal,F_MNOP F_EIOU,0.125535
93,NT7,nonterminal,F_AM F_QRST,0.229053
94,NT7,nonterminal,F_YZ F_QRST,0.524199
95,NT7,nonterminal,NT11 NT1,0.022264
96,NT8,nonterminal,F_IJKL F_AM,0.02115
97,NT8,nonterminal,F_IJKL F_YZ,0.055011
98,NT8,nonterminal,F_MNOP F_EIOU,0.022042
99,NT8,nonterminal,F_AM F_QRST,0.228395
100,NT8,nonterminal,F_YZ F_QRST,0.4956
101,NT8,nonterminal,NT8 NT10,0.069634
102,NT8,nonterminal,NT11 NT12,0.10817
103,NT9,nonterminal,F_ABCD F_EIOU,0.583158
104,NT9,nonterminal,F_EFGH F_AM,0.103074
105,NT9,nonterminal,F_EFGH F_YZ,0.210489
106,NT9,nonterminal,F_QRST F_UVWX,0.078059
107,NT9,nonterminal,F_YZ F_EIOU,0.025221
108,NT10,nonterminal,F_ABCD F_EFGH,0.500322
109,NT10,nonterminal,F_EFGH F_IJKL,0.202342
110,NT10,nonterminal,F_IJKL F_MNOP,0.297336
111,NT11,nonterminal,F_QRST F_UVWX,0.578726
112,NT11,nonterminal,F_UVWX F_AM,0.061632
113,NT11,nonterminal,F_AM F_EIOU,0.102814
114,NT11,nonterminal,F_YZ F_EIOU,0.256828
115,NT12,nonterminal,F_ABCD F_EIOU,0.317448
116,NT12,nonterminal,F_EFGH F_AM,0.049962
117,NT12,nonterminal,F_EFGH F_YZ,0.164221
118,NT12,nonterminal,F_UVWX F_YZ,0.075346
119,NT12,nonterminal,NT10 NT5,0.02168
120,NT12,nonterminal,NT10 NT11,0.253888
121,NT12,nonterminal,NT11 NT9,0.051318
122,NT12,nonterminal,NT11 NT12,0.066137
